pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_dr3_id,ra,dec,sy_dist,sy_snum,sy_pnum,cb_flag,st_teff,st_mass,st_rad,st_lum,pl_rade,pl_bmasse,pl_bmassprov,pl_dens,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,discoverymethod,disc_year,disc_facility,pl_controv_flag
"Kepler-272 c","Kepler-272","c",,,"TIC 268704766","Gaia DR3 2085701097508446464",299.1275257,47.5938319,889.60800000,1,3,0,5297.00,0.910000,0.929000,0.06634,1.79000000,97.80000000,"Mass",93.700000,947.00,310.7600,6.05734200000,0.0610000000,0.000000,88.98000,"Transit",2014,"Kepler",0
"Kepler-272 d","Kepler-272","d",,,"TIC 268704766","Gaia DR3 2085701097508446464",299.1275257,47.5938319,889.60800000,1,3,0,5297.00,0.910000,0.929000,0.06634,2.25000000,5.69000000,"M-R relationship",2.740000,777.00,141.1350,10.93730400000,0.0910000000,0.000000,86.63000,"Transit",2014,"Kepler",0
"Kepler-273 b","Kepler-273","b",,,"TIC 159726559","Gaia DR3 2129193070214982016",291.3021458,47.6976573,713.96400000,1,2,0,5626.00,0.756000,0.815000,-0.34099,1.50000000,2.86000000,"M-R relationship",4.660000,1209.00,285.6360,2.93653200000,0.0370000000,0.000000,87.29000,"Transit",2014,"Kepler",0
"Kepler-273 c","Kepler-273","c",,,"TIC 159726559","Gaia DR3 2129193070214982016",291.3021458,47.6976573,713.96400000,1,2,0,5626.00,0.756000,0.815000,-0.34099,1.98000000,4.58000000,"M-R relationship",3.240000,865.00,74.8870,8.01492700000,0.0730000000,0.000000,87.69000,"Transit",2014,"Kepler",0
"Kepler-274 b","Kepler-274","b",,,"TIC 137892978","Gaia DR3 2052307864222921088",292.9227926,38.4772173,1333.62000000,1,2,0,6023.00,0.883000,1.007000,0.20130,1.54000000,2.99000000,"M-R relationship",4.500000,961.00,147.8120,11.63478800000,0.1010000000,0.000000,89.82000,"Transit",2014,"Kepler",0
"Kepler-274 c","Kepler-274","c",,,"TIC 137892978","Gaia DR3 2052307864222921088",292.9227926,38.4772173,1333.62000000,1,2,0,6023.00,0.883000,1.007000,0.20130,1.84000000,4.04000000,"M-R relationship",3.560000,678.00,36.5180,33.19786100000,0.2040000000,0.000000,88.53000,"Transit",2014,"Kepler",0
"Kepler-275 b","Kepler-275","b",,,"TIC 137634395","Gaia DR3 2051950454223150720",292.4797004,38.5149018,2034.25000000,1,3,0,6165.00,1.189000,1.383000,0.44934,2.34000000,6.08000000,"M-R relationship",2.610000,1015.00,266.3000,10.30068200000,0.0980000000,0.000000,89.99000,"Transit",2014,"Kepler",0
"Kepler-275 c","Kepler-275","c",,,"TIC 137634395","Gaia DR3 2051950454223150720",292.4797004,38.5149018,2034.25000000,1,3,0,6165.00,1.189000,1.383000,0.44934,3.38000000,11.40000000,"M-R relationship",1.620000,875.00,146.5000,16.08813400000,0.1320000000,0.000000,87.82000,"Transit",2014,"Kepler",0
"Kepler-275 d","Kepler-275","d",,,"TIC 137634395","Gaia DR3 2051950454223150720",292.4797004,38.5149018,2034.25000000,1,3,0,6165.00,1.189000,1.383000,0.44934,3.33000000,11.10000000,"M-R relationship",1.650000,671.00,50.7000,35.67606200000,0.2240000000,0.000000,88.84000,"Transit",2014,"Kepler",0
"Kepler-276 b","Kepler-276","b",,,"TIC 138213510","Gaia DR3 2052304325169514880",293.5681970,39.0363123,1144.86000000,1,3,0,6105.00,0.845000,1.046000,-0.08948,2.87000000,731.20900000,"Mass",73.000000,739.00,58.5860,14.12841000000,0.1190000000,0.000000,87.47000,"Transit",2014,"Kepler",0
