"exoID","IAU-name (exoplanet)","etymology","planet designator","theme","iAU-name (host star)","wgsnCat","star name etymology","constellation","country"
"83","Alef","Alef is the first letter in the Hebrew alphabet and also means bull.","HAT-P-9 b","Terms symbolically associated with the Universe, and its beginning, in the Hebrew language.","Tevel","10036","Tevel means Universe or everything and begins with the letter Taf, the last letter in the Hebrew alphabet.","Auriga","Israel"
"84","Lete","Lete is the oblivion river made of fog from Greek Mythology in the Italian narrative poem on the afterlife ""Divina Commedia"" (Divine Commedy) by Dante Alighieri, chosen as an allusion to the planet's gaseous nature.","HD 102195 b","Rivers of the underworld from Greek Mythology in the very famous Italian allegorical (or epic) poem Divina Commedia (Divine Comedy) by Dante Alighieri (first edition 1321).","Flegetonte","10063","Flegetonte is the underworld river of fire from Greek Mythology in the Italian narrative poem on the afterlife ""Divina Commedia"" (Divine Commedy) by Dante Alighieri, chosen as an allusion to the star's fiery nature.","Virgo","Italy"
"85","Asye","Asye refers to the Earth goddess of Akan mythology.","WASP-15 b","Principal deities of Akan mythology of Côte d'Ivoire (Ivory Coast).","Nyamien","10076","Nyamien refers to the supreme creator deity of Akan mythology.","Centaurus","Ivory Coast"
"86","Chura","Chura is a word in the Ryukyuan/Okinawan language meaning natural beauty.","HD 145457 b","Terms associated with the supernatural or natural beauty from the indigenous Ainu and Ryukyuan/Okinawan languages of Japan.","Kamuy","10087","Kamuy is a word in the Ainu language denoting a supernatural entity possessing spiritual energy.","CoronaBorealis","Japan"
"87","Wadirum","Wadi Rum (Valley of the Moon) is located at the far south of Jordan, it is the largest valley in Jordan, set on the high plateau at the western edge of the Arabian Desert.","WASP-80 b","Names associated with the ancient city of Petra and the Wadi Rum Protected Area UNESCO World Heritage Sites in southern Jordan.","Petra","10109","Petra is a historical and archaeological city in southern Jordan and a UNESCO World Heritage site.","Aquila","Jordania"
"88","Buru","Buru means dust in the Dholuo language of Kenya and is typically associated with wind storms.","HD 83443 b","Terms associated with meteorological phenomena, symbolic of stars and planets, in the languages of Kenya.","Kalausi","10047","The word Kalausi means a very strong whirling column of wind in the Dholuo language of Kenya.","Vela","Kenya"
"89","Staburags","Staburags is the name of a character from the Latvian poem Staburags un Liesma, and denotes a rock with symbolic meaning in literature and history.","HD 118203 b","Names of characters and places associated with the poem Staburags un Liesma by Latvian poet Fridrihs Malbergis (1824–1907).","Liesma","10074","Liesma means flame, and it is the name of a character from the Latvian poem Staburags un Liesma.","UrsaMajor","Latvia"
"90","Beirut","Beirut is one of the oldest continuously inhabited cities in the world and was a Phoenician port. Beirut is now the capital and largest city of Lebanon.","HD 192263 b","Names of ancient cities and places associated with the Phoenician civilisation in Lebanon.","Phoenicia","10111","Phoenicia was an ancient thalassocratic civilisation of the Mediterranean that originated from the area of modern-day Lebanon.","Aquila","Lebanon"
"91","Umbäässa","In the local dialect of southern Liechtenstein, Umbäässa is a small and barely visible ant, alluding to the properties of a planet with respect to its star.","TrES-3 b","Names for insects in dialects of Liechtenstein.","Pipoltr","10101","In the local dialect of Triesenberg, Pipoltr is a bright and visible butterfly, alluding to the properties of a star.","Hercules","Liechtenstein"
"92","Vytis","Vytis is the symbol of the Lithuanian coat of arms.","HAT-P-40 b","Terms associated with peace in Lithuanian language and national symbols of Lithuania.","Taika","10119","Taika means peace in the Lithuanian language.","Lacerta","Lithuania"
"93","Peitruss","Peitruss is derived from the name of the Luxembourg river Pétrusse, with the river's bend around Lucilinburhuc fortress alluding to the orbit of the planet around its star.","HD 45350 b","Names of historical sites and prominent geographic features in Luxembourg City, Luxembourg.","Lucilinburhuc","10026","The Lucilinburhuc fortress was built in 963 by the founder of Luxembourg, Count Siegfried.","Auriga","Luxembourg"
"94","Trimobe","Trimobe is a rich ogre from Malagasy tales.","HD 153950 b","Creatures from Malagasy mythology.","Rapeto","10096","Rapeto is a giant creature from Malagasy tales.","Scorpius","Madagascar"
"95","Baiduri","Baiduri means opal in Malay language (Bahasa Melayu), alluding to the mysterious beauty of the planet.","HD 20868 b","Names of gemstones associated with jewelry in Malay language (Bahasa Melayu).","Intan","10016","Intan means diamond in the Malay language (Bahasa Melayu), alluding to the shining of a star.","Fornax","Malaysia"
"96","Ġgantija","Ġgantija means giantess: the megalithic temple complex on the island of Gozo, which alludes to the grandeur of this gas giant exoplanet.","HAT-P-34 b","Names associated with the megalithic temples of Ġgantija on the island of Gozo, Malta, a UNESCO World Heritage Site.","Sansuna","10110","Sansuna is the name of the mythological giant from traditional Maltese folk tales that carried the stones of the Gozo megalithic temples on her head.","Sagitta","Malta"
"97","Cuptor","Cuptor is a thermally insulated chamber used for baking or drying substances, that has long disappeared in Mauritius and has been replaced by more sophisticated ovens.","WASP-72 b","Terms associated with light and heat used in Mauritius.","Diya","10013","Diya is an oil lamp that is brought by Indian ancestors to Mauritius in the 1820's, and is used for lighting during special occasions, including the light festival of Diwali.","Fornax","Mauritius"
"98","Xólotl","Xólotl means animal in the native Nahuatl language and was an Aztec deity associated with the evening star (Venus).","HD 224693 b","Nahuatl language names of animals of Mexico associated with Aztec mythology.","Axólotl","10124","Axólotl means water animal in the native Nahuatl language, which is a unique and culturally significant endemic amphibious species from the basin of Mexico.","Cetus","Mexico"
"99","Bambaruush","Bambaruush is the Mongolian term for 'bear cub', the offspring of the endangered Mazaalai (Gobi bear) of the Gobi Desert.","HAT-P-21 b","Mongolian names associated with the endangered Gobi bear (Mazalaai in Mongolian) and its habitats in the Gobi desert region of Mongolia.","Mazalaai","10065","Mazaalai is the Mongolian name for the endangered Gobi bear subspecies (Ursus arctos gobiensis) of the Gobi Desert region of Mongolia, and the name of the first Mongolian satellite.","UrsaMajor","Mongolia"
"100","Isli","Isli is the name of a lake in the Atlas mountains of Morocco. It means the groom in the Amazigh language and it is associated with a heartbroken handsome boy in an ancient local legend.","WASP-161 b","Names from Amazigh legends associated with Lakes Tisli and Isli of the Atlas Mountains of Morocco.","Tislit","10044","Tislit is the name of a lake in the Atlas mountains of Morocco. It means the bride in the Amazigh language and it is associated with a heartbroken beautiful girl in an ancient local legend.","Puppis","Morocco"
"101","Hairu","Hairu represents unity in the local Makhuwa language of the northern region of Mozambique.","HD 7199 b","Terms associated with love and unity in the Makhuwa language of northern Mozambique.","Emiw","10005","Emiw represents love in the local Makhuwa language of the northern region of Mozambique.","Tucana","Mozambique"
"102","Bagan","Bagan is one of Myanmar's ancient cities that lies beside the Ayeyarwardy river.","HD 18742 b","Names associated with the ancient city of Bagan, a UNESCO World Heritage Site in the Mandalay region of Myanmar.","Ayeyarwady","10015","Ayeyarwady is the largest and most important river in Myanmar.","Eridanus","Myanmar"
