"<span>proper names</span>","<span>NEC+</span>","<span>Designation</span>","<span>HIP</span>","<span>Bayer ID</span>","<span>Simbad spelling</span>","<span>Constellation</span>","<span>Origin</span>","<span>Language</span>","<span>Reference</span>","<span>Date of Adoption</span>"
"Gang","641","HR 580","9598","50 Cas","Gang","Cas","Gàng (“Shaft”) forms part of the ancient Chinese asterism of Huá Gài (Canopy of the Emperor, 華蓋). Allen (1899) mentions the term as a star name in Cam but WGSN places it in a correcter position.","Chinese","see ASE","2025/12/25"
"Rangifer","654","HR 592","9763","49 Cas","Rangifer","Cas","Rangifer, the Reindeer, is an extinct constellation first introduced by Pierre-Charles Le Monnier in 1743 in the book La Théorie des Comètes. He aimed to resemble an Indigenous constellation of the Sami people in Northern Scandinavia, where he had travelled to on a geodetic expedition.","Latin","see ASE","2025/12/25"
"Tarandus","360","HR 285","5372","2 UMi","Tarandus","Cep","Tarandus is an alternative name for the Early Modern European constellation ""Rangifer"", the Reindeer, from Greek τάρανδος (reindeer), Latinised by Carl Linnaeus 1758 ""Cervus Tarandus"" for a species, Jamieson 1822 used ""Rangifer tarandus"" for the reindeer in the sky.","Latin","see ASE","2025/12/25"
"Sarvvis","1,167","HR 1122","17358","δ Per","Sarvvis","Per","Sarvvis, the reindeer or moose (bull), is an Indigenous constellation, used by the Sami people of northern Scandinavia.","Sami","see ASE","2025/12/25"
"Áldu","1,268","HR 1220","18532","ϵ Per","Aldu","Per","Áldu, the Reindeer Cow, in Sami language. The Sami constellation of the reindeer is usually called with the male term ""Sarvvis"", but mythology reports it keeping its antlers during winter, which only females do.","Sami","see ASE","2025/12/25"
"Cexing","169","HR 130","2599","κ Cas","Cexing","Cas","Cè (Whip, 策) is an ancient Chinese star name representing the horsewhip, located beside the asterism Wangliang (王良) and closely associated with both Wangliang (王良) and Tiansi (天駟). It belongs to the Gān school. ""Xing"" means star. The ancients sometimes also call it Cexing (whip star) or Tiance (celestial whip). In modern and postmodern literature in English, the name is occasionally used for γ Cas but this is a late shift, only attested from the 18th century onwards when the Chinese uranography was reworked under Jesuit influence. WGSN corrects the adoption to the Indigenous version.","Chinese","see ASE","2025/11/13"
"Tiansi","299","HR 264","4427","γ Cas","Tiansi","Cas","Tiān Sì (Heavenly Quadriga, 天駟) is an old Chinese asterism, attested for at least 2000 years. It comprises four of the five stars forming the constellation Wangliang (王良) and represents the four horses pulling the chariot. It may thus be regarded as a constituent sub-constellation/asterism of Wangliang (王良). In the literature in English, the name ""Ce"" (old spelling: Tsih) can be found; WGSN corrects this misapplication of an old star name.","Chinese","see ASE","2025/11/13"
"Bagu","2,113","HR 2077","28358","δ Aur","Bagu","Aur","Bā Gǔ (Eight Kinds of Crops, 八穀) is a Chinese constellation consisting of eight stars located within the constellations Lynx, Auriga, and Camelopardalis. It refers to land management officials in charge of rice, millet, barley, wheat, soybean, bean, chestnut, and hemp. It belongs to the asterisms introduced by Gan De and originated during the Han dynasty (roughly 2000 years ago).","Chinese","see ASE","2025/11/13"
"Apdu","711","HR 664","10670","γ Tri","Apdu","Tri","Apd(w), ȝpd, The Bird, is an ancient Egyptian constellation from the second millennium BCE; the language is moribunt. There are at least 21 spelling variants throughout the millennia in hierglyphs, and it is probably not any specific bird; might be a goose or falcon or something else. Four star names within the constellation are attested in Ramesside Star Clocks and identified with the area between α, β Per and all of Triangulum. WGSN adopts the name of the constellation for any unspecific spot within its area to preserve an old Egyptian cultural name.","Egyptian","see ASE","2025/11/13"
"Alaybasan","669","HR 622","10064","β Tri","Alaybasan","Tri","Al-Aybasān (الأيبسان), the Two Joints (of bones), is an Indigenous Arabian asterism. Name variants are Al-Anīsān (الأنيسان) and Al-Baysan. The later spelling variant al-Anīsān that originated from a mistake changed the meaning, as it translates The Two Friends. WGSN adopts a spelling variant without hyphen: ""Alaybasan"" is the name for β Tri","Arabic","see ASE","2025/11/07"
