"<span>proper names</span>","<span>NEC+</span>","<span>Designation</span>","<span>HIP</span>","<span>Bayer ID</span>","<span>Simbad spelling</span>","<span>Constellation</span>","<span>Origin</span>","<span>Language</span>","<span>Reference</span>","<span>Date of Adoption</span>"
"Kaus Media","6,902","HR 6859","89931","δ Sgr","Kaus Media","Sgr","Arbitrarily applied in recent times, together with the Latin distinctions of ""middle,"" ""southern,"" and ""northern"" (for λ Sgr), from the pre-Islamic Arabian (and later Arabic) constellation name al-qaus, ""the Bow."" For the pre-Islamic Arabians, al-qaus was marked by the curved line of stars ξ2, o, π, d, ρ and u Sgr (corresponding to what in other cultures was Sagittarius among the zodiacal signs). The Arabics used the indigenous name for the Greeks' Archer, alternatively translated as al-rami.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Kochab","5,529","HR 5563","72607","β UMi","Kochab","UMi","Applied to β UMi in Early Modern times and of uncertam derivation. It is probably from one of the names Alrucaba, Rucaba, etc., that were first applied to θ UMa, then to α UMi, in medieval times. However, the name may also be from the Arabic word kaukab, or the Hebrew word kokhabh, both meaning ""star.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Maia","1,191","HR 1149","17573","20 Tau","Maia","Tau","These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Mebsuta","2,478","HR 2473","32246","ε Gem","Mebsuta","Gem","From an abbreviation of the pre-Islamic Arabian asterism name dhira' al-asad almabsuta, ""the Lion's Outstretched Paw,"" for one of the two pairs α/β Gem or α/β CMi. These pairs were assigned to the larger pre-Islamic Arabian asterism al-asad, but there is no unanimity in the Arabic sources as to which pair was the ""outstretched"" or ""folded"" paw. ""Mebsuta"" was arbitrarily applied as a star name to ε Gem in recent times. In its indigenous location stretching from parts of Gemini all the way into Virgo, the pre-Islamic Arabian al-asad, ""the Lion,"" corresponded to what in other cultures was Leo among the zodiacal signs. Subsequently the Arabs used the indigenous name for the smaller Greek Lion (Leo).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Meissa","1,910","HR 1879","26207","λ Ori","Meissa","Ori","From the pre-Islamic Arabian name al-maisan, for either γ or ξ Gem. The meaning of the name is uncertain. It may mean ""the Sparkling One,"" referring to a star, or ""the Proudly Marching One,"" referring to a person. Together, γ and ξ Gem composed the pre-Islamic Arabian 6th lunar mansion alhan'a. The nearby stars λ, ϕ1, and ϕ2 Ori composed the adjacent 5th lunar mansion al-haq'a. Due to confusion between these two parent lunar mansions in a late Arabic source, ""Meissa"" was wrongly applied to λ Ori (rather than to γ or ξ Gem) in recent times. ""Meissa"" (without n at the end) corresponds to pre-Islamic Arabian almaisa', a variant form of al-maisan.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Menkalinan","2,114","HR 2088","28360","β Aur","Menkalinan","Aur","Applied in recent times from its Arabic name mankib dhi l-(inan, ""the Shoulder of the Reinholder"".","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Merope","1,199","HR 1156","17608","23 Tau","Merope","Tau","These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Miaplacidus","3,632","HR 3685","45238","β Car","Miaplacidus","Car","Applied in recent times, and of unknown astronomical significance. The first element, Mia-, is unexplained. The second element is the Latin adjective placidus, meaning ""calm, gentle"" (here in the masculine form).","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Mimosa","4,868","HR 4853","62434","β Cru","Mimosa","Cru","Applied in recent times, and of unknown astronomical significance. It is from the Latin word mimus, ""an actor"", and is otherwise known as the genus name for certain tropical plants.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Mintaka","1,880","HR 1852","25930","δ Ori","Mintaka","Ori","Applied in recent times from an abbreviation of the pre-Islamic Arabian (and Arabic) asterism name mintaqat al-jauza', ""the Belt (or Girdle) of al-jauza'"", for δ, ε, and ζ Ori.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Mirfak","1,068","HR 1017","15863","α Per","Mirfak","Per","Applied in recent times from an abbreviation of its pre-Islamic Arabian name mirfaq al-thurayya, ""the Elbow of the Pleiades,"" for its location in the pre-Islamic Arabian asterism here.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Mirzam","2,290","HR 2294","30324","β CMa","Mirzam","CMa","Applied in recent times from its Arabic name al-mirzam, of unknown meaning. The Arabs also gave the name to β CMi, and sometimes to γ Ori. Each al-mirzam star preceded the rising of a brighter star (our Sirius, Procyon, and Betelgeuse, respectively), which probably connects to the unknown meaning.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Muscida","3,330","HR 3323","41704","ο UMa","Muscida","UMa","Almagestum 1515: ""illa quae est supra extremitatem Musciae"" - Bayer (1603) ""in naso, barbaris muscida."" - attributed to ""Barbarians""","Latin","Ptolemaeus. (1515). Almagestū Cl[audii] Ptolemei Pheludiensis Alexandrini Astronomo[rum] principis : opus ingens ac nobile omnes celorū motus continens ... Liechtenstein, Petrus.","2016/07/20"
"Nihal","1,847","HR 1829","25606","β Lep","Nihal","Lep","Applied in recent times from the pre-Islamic Arabian asterism name al-nihal ""the Camels Beginning to Quench Their Thirst"" for α, β, γ and δ Lep.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Peacock","7,796","HR 7790","100751","α Pav","Peacock","Pav","Invented for The Air Almanac of the HM Nautical Almanac Office","English","""A Personal History of H.M. Nautical Almanac Office: 30 October 1930-18 February 1972"" by Donald H. Sadler.  Edited by George A. Wilkins. Sidford, Devon, 2008. Copyright United Kingdom Hydrographic Office, 2008.","2016/07/20"
"Phact","1,969","HR 1956","26634","α Col","Phact","Col","Applied in recent times from the Arabic word fakhita, ""ring dove,"" used in connection with the constellation Cygnus in a Early Modern discussion of Arabic bird names.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Phecda","4,557","HR 4554","58001","γ UMa","Phecda","UMa","Applied in recent times from an abbreviation of its name for the Arabic Almagest period fakhidh al-dubb al-akbar, ""the Thigh of the Greater Bear.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Porrima","4,834","HR 4825","61941","γ Vir","Porrima","Vir","The name of a Roman goddess, one of several mythological names mentioned in connection with the constellation Virgo. Applied as a star name in recent times.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Propus","2,227","HR 2216","29655","η Gem","Propus","Gem","Applied in Early Modern times from the Greek word πρόπους, ""forward foot"", used by Ptolemy in the Almagest in describing this star.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Rasalhague","6,587","HR 6556","86032","α Oph","Rasalhague","Oph","Applied with various spellings since medieval times, from its name for the Arabic Almagest period ra's al-ḥawwa', ""the Head of the Serpent Collector.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Rukbat","7,365","HR 7348","95347","α Sgr","Rukbat","Sgr","Applied in recent times from an abbreviation of its name for the Arabic Almagest period rukbat al-rami, ""the Archer's Knee"".","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Saiph","2,028","HR 2004","27366","κ Ori","Saiph","Ori","From an abbreviation of the Arabic asterism name saif al-jabbar, the Giant's Sword,"" for η, c, θ, and ι Ori. Wrongly applied as a star name to κ Ori in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Shaula","6,580","HR 6527","85927","λ Sco","Shaula","Sco","The Arabic lunar mansion ""Al Shaula"" (""the sting"") refers to the pair Lambda and Upsilon Sco (Al Sufi), the two stars that have been called ""the sting of the Scorpion"" even in MUL.APIN (I ii 31-32) but with different proper names there. ""Shaula"" appeared more in early modern literature for the pair of stinger stars after Hyde's (1665) translation of Ulugh Beg, and specifically for Lambda Sco after Piazzi's (1814) Palermo Catalog.","Sumerian","Horowitz, W. (2018) ‘Communication and miscommunication in the southern sky’, in Registers and Modes of Communication in the Ancient Near East. 1st edn. Routledge, pp. 69–84.","2016/07/20"
"Sheratan","590","HR 553","8903","β Ari","Sheratan","Ari","Applied in recent times from the Arabic lunar mansion name al-shara-tan, for β and γ Ari. The name means ""two"" of something, but the complete meaning is uncertain. Some Arabic authors suggested that it meant ""the Two Signs"", implying these stars as some kind of celestial indicator; others assumed it meant ""the Two Horns"", referring to the Arabic figure of al-hamals here.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Talitha","3,552","HR 3569","44127","ι UMa","Talitha","UMa","Applied in recent times from an abbreviation of the pre-Islamic Arabian name alqafza al-thalitha, ""the Third Leap,"" for ι and κ UMa. This pair, with the pairs λ/μ and v/ξ UMa, composed the pre-Islamic Arabian asterism qafazat al-ziba', ""the Leaps of the Gazelles,"" imagined as the tracks left by those animals. In some later tradition, qafazat al-ziba' and adjacent asterisms were associated in a fable, where several gazelles leaped away from the Lion into a pond, leaving their tracks behind.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Tania Australis","4,042","HR 4069","50801","μ UMa","Tania Australis","UMa","Applied in recent times from their pre-Islamic Arabian name al-qafza al-thaniya, ""the Second Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Tania Borealis","4,009","HR 4033","50372","λ UMa","Tania Borealis","UMa","Applied in recent times from their pre-Islamic Arabian name al-qafza al-thaniya, ""the Second Leap"", and the Latin distinctions of ""northern"" and ""southern,"" respectively.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Tonatiuh","4,591","HR 4609","58952","","Tonatiuh","Cam","Tonatiuh was the Aztec god of the Sun.","Aztec","2015 NameExoWorlds","2016/07/20"
"Vindemiatrix","4,942","HR 4932","63608","ε Vir","Vindemiatrix","Vir","The formation of this name begins with the classical Greek name for this star: Protrygeter (""the Grape Gatherer"") as it is given in the Almagest: ὁ βόρειος αὐτῶv καὶ καλούμενος Προτρυγητήρ. The Romans translated this name as vindemiator and other similiar masculine forms. Similarly, after a somewhat erroneous translation of the Greek name by the Arabs, the Medieval Latin translation in the Almagest was precedens vindemiatorem, ""the One preceding the Grape Gatherer"", modified in some editions of the Alphonsine Tables into precedens vindemitorem. The exact origin of the current, feminine ""Vindemiatrix"" from any of these forms is uncertain, but it first appeared in Early Modern times.","Latin","Almagest (Heiberg edition, II 102). Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Wazn","2,050","HR 2040","27628","β Col","Wazn","Col","Applied in recent times from some pre-Islamic Arabian name al-wazn, of unknown significance.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Wezen","2,676","HR 2693","34444","δ CMa","Wezen","CMa","From the Arabic name al-wazn, for one of a pair of stars, the other one being hadari. Arabic authors ventured to identify these stars as α/β Cen or α/β Col, but exactly what two stars were originally intended, and the significance of their names, is unknown. As a common noun in Arabic, al-wazn means ""the weight"". ""Wezen"" was arbitrarily applied to δ CMa in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Zaurak","1,269","HR 1231","18543","γ Eri","Zaurak","Eri","From the Arabic word zauraq, ""boat,"" used in an unaginat1ve, nonclassical description of several stars near Eridanus (evidently the stars of today's Phoenix). Arbitrarily applied as a star name toy Eri in recent times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Zosma","4,355","HR 4357","54872","δ Leo","Zosma","Leo","From the Greek word ζῶσμα, ""girdle"" or ""loin cloth"". In Early Modern times this word was erroneously said to have been used to describe δ Leo in a medieval Greek text. Correctly, the text has ὀσφῦς, ""hip"" or ""lower back"" (after Ptolemy). The name ""Zosma"" (transliterated from the erroneous Greek word) was applied in recent times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/07/20"
"Achernar","499","HR 472","7588","α Eri","Achernar","Eri","Arabic name آخر النهر (āḫiru ʾn-nahr) meaning, the End of the River; originally used for θ Eri that was considered the end of the river in the ancient star catalog (Almagest).The name was transferred to α Eri in the Early Modern Era when the constellation was extended south to this new terminus.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Alcor","5,062","HR 5062","65477","80 UMa","Alcor","UMa","Ultimately from the pre-Islamic Arabian name al-jaun, for ε UMa, which was transliterated and eventually corrupted in Latin to ""Alcor."" The name was wrongly transferred to 80 UMa in Early Modern times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Alcyone","1,204","HR 1165","17702","η Tau","Alcyone","Tau","These names were individually applied in Early Modern times from a family of characters in Greek mythology: Atlas, Pleione and their seven daughters, the Pleiades.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Aldebaran","1,498","HR 1457","21421","α Tau","Aldebaran","Tau","Applied in the early Islamic period from its pre-Islamic Arabian name al-dabaran, possibly meaning ""the Follower,"" alternatively used as the lunar mansion name for all the Hyades (or again for α Tau alone). The name is thought to refer to this star's following the Pleiades across the sky, or to the Hyades (or α Tau) coming after the Pleiades as a lunar mansion. ""Aldebaran"" is one of the oldest Arabic star names applied in the West, from the end of the 10th century A.D.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Algenib","73","HR 39","1067","γ Peg","Algenib","Peg","From the name for the Arabic Almagest period al-janb, ""the Side,"" for α Per. Wrongly transferred to γ Peg in Early Modern times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Algol","977","HR 936","14576","β Per","Algol","Per","Applied in medieval times from an abbreviation of its name for the Arabic Almagest period ras al-ghul ""the Demon's Head"" (for Ptolemy's Gorgon-head). ""Algol"" is one of the oldest Arabic star names applied in the West, from the end of the 10th century A.D.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Alioth","4,905","HR 4905","62956","ε UMa","Alioth","UMa","Ultimately from its pre-Islamic Arabian name al-jaun, ""the Black Horse, or Bull,"" which became corrupted even in Arabic sources (where some of the corruptions carried other meanings). For example, in the Arabic manuscript of the Almagest that was translated into Latin in 1175 A.D., this name of ε UMa had apparently been miswritten as al-jauza or al-jauza (the latter being identical to the name for the Arabic Almagest period for Orion and Gemini). Whatever was read in this Arabic manuscript was transliterated into Latin as alioze. In subsequent Latin copies, this name was further corrupted to aliore, Alcor, Alioth, etc. Since late medieval times, ""Alioth"" became the preferred name for ε UMa.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Aljanah","7,934","HR 7949","102488","ε Cyg","Aljanah","Cyg","The star used to be commonly named Gienah (cf. Kunitzsch and Smart 2006, Allen 1899) which derives from Arabic al-Janāḥ, The Wing, based on Almagest translations. WGSN adopted the original Arabic word instead of the corrupted one.","Arabic","--","2016/06/30"
"Alkaid","5,192","HR 5191","67301","η UMa","Alkaid","UMa","Applied with various spellings since medieval times, from its pre-Islamic Arabian name al-qa'id, ""the Leader"" (probably as leader of the Daughters of the Bier).","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Alpheratz","49","HR 15","677","α And","Alpheratz","And","The specific origin of this name is unclear. It may represent a transfer from β Peg, where alferaz and other variants were applied in medieval times as abbreviations for β Peg's Arabic name mankib al-faras, ""the Horse's Shoulder"". Or, it may be from an abbreviation of the name alpheraz id est equus, ""alpheraz, that is, the Horse"", which was applied directly to α And also in medieval times. In any case, Medieval Latin authors confused these two names, their spellings, and their identifications, and the modern application of ""Alpheratz"" to α And comes down to us from late medieval times.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Altair","7,558","HR 7557","97649","α Aql","Altair","Aql","Applied with various spellings since medieval times, from an abbreviation of its Arabic name al-nars al-ta)ir, ""the Flying Eagle (or Vulture)"", alternatively used as an asterism name for α, β and γ Aql. The name has probable origins among the Babylonians and Sumerians, for whom α Aql was ""the Eagle Star"".","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Antares","6,150","HR 6134","80763","α Sco","Antares","Sco","From its ancient Greek name ἀντάρης, ""like Ares"", likening the red colour of this star to its planetary namesake (the Roman Mars), name occurs in the Almagest. Possibly the Greek name goes back to a Sumerian precursor AN.TA.GUB (as suggested by Horowitz).","Greek","Almagest, translated by Toomer (1984, 372), Horowitz ()","2016/06/30"
"Arcturus","5,331","HR 5340","69673","α Boo","Arcturus","Boo","From its ancient Greek name Ἀρκτοῦρος, ""the Guard, or Guardian"". Reapplied in Early Modern times. As the Greek word  Άρκτος, ""bear,"" also came to mean ""north,"" the meaning can ambiguously be ""Guardian of the North"" and ""Guardian of the Bear"", referring to the nearby constellation Ursa Major.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Bellatrix","1,819","HR 1790","25336","γ Ori","Bellatrix","Ori","A Latin name meaning ""the Female Warrior"", given to α Aur in a medieval astrological text (the reason behind this initial application is not fully understood and awaits further findings in corresponding Arabic texts). In late medieval times, bellatrix was transferred to γ Ori, perhaps by association with the name Bellator, ""the Male Warrior"", which was used for Orion in other astrological texts.","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Betelgeuse","2,085","HR 2061","27989","α Ori","Betelgeuse","Ori","Applied with varied spellings since medieval times, from its pre-Islamic Arabian name yad al-jauza', ""the Hand of al-jauza'"" (The first medieval transliteration into Latin was bedalgeuze, mistaking the initial Arabic letter as ""b"" instead of ""y."" In Early Modern times this corruption was erroneously attributed to the assumed Arabic word ""bat"" [properly ibt], for ""the Armpit"" of al-jauza', giving rise to the corruption  Betelgeuse"" seen today. Thus by Early Modern times both the ""y"" and ""d"" of the first part of the pre-Islamic Arabian name had become corrupted.) The pre-Islamic Arabian asterism al-jauza' was a feminine figure represented in the stars of what is today Orion. The origin of its name is unclear (as with nearly all of the ancient group of pre-Islamic Arabian names). The root jwz can mean ""middle,"" and the word al-jauza' is structured as a feminine adjective, thus al-jauza' may mean ""the female one, having something about her related to the middle."" There have been different speculations as to what the ""middle"" reference, if that is what it is, could be (for one example). The pre-Islamic Arabians' al-jauza' corresponded to what in other cultures was Gemini among the zodiacal signs. The Arabics subsequently used the indigenous name for both the Greek Orion and Twins, leading to some confusion in star names between the two constellations. An alternative name for the Arabic Almagest period for Orion was al-jabbar, ""the Giant"" and for Gemini, al-taw'aman, ""the Twins.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Canopus","2,304","HR 2326","30438","α Car","Canopus","Car","From its ancient Greek name Κάνωβος (Ptolemy's spelling), an untranslated proper name that was introduced rather late into Greek astronomy (perhaps in the 2nd century BCE). There seem to be Egyptian influences in the name's development. Reapplied in Early Modern times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Capella","1,746","HR 1708","24608","α Aur","Capella","Aur","Its ancient Roman name meaning ""the She-goat"" (but more commonly given, in antiquity, as Capra), after the star's Greek name αίξ, ""the Goat"". Reapplied in recent times. The Roman names Capella, Aselli (for γ/ δ Cnc), and others in the diminutive form (also in Greek), are likely meant to indicate an atypical use of words, as an animal's name given to a star instead of to the animal (rather than meaning ""small"" animals or personages).","Latin","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Caph","56","HR 21","746","β Cas","Caph","Cas","Applied in recent times from an abbreviation of its pre-Islamic Arabian name al-kaff al-khadib ""the Stained Hand,"" alternatively and more correctly used for all the brighter stars of today's Cassiopeia (probably α, β, γ, δ, and ε). The pre-Islamic Arabian figure here represented a hand with its finger-tips stained reddish-brown in the traditional Eastern way using henna leaves. al-kaff al-khatdib, in turn, was part of the larger pre-Islamic Arabian asterism kaff althurayya al-yumna al-mabsuta, ""the Outstretched Right Hand of the Pleiades."" The latter extended from today's Taurus through Perseus into Cassiopeia. A second hand (the Pleiades were a ""head"" from which two arms or hands radiated) was al-kaff al-jadhma', ""the Amputated Hand,"" in today's Cetus.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Castor","2,885","HR 2891","36850","α Gem","Castor","Gem","From its ancient Greek name Κάστωρ, a character in Greek mythology, the twin of Pollux (β Gem). Reapplied in Early Modern times.","Greek","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Deneb","7,908","HR 7924","102098","α Cyg","Deneb","Cyg","""Tail"" in Arabic","Arabic","","2016/06/30"
"Denebola","4,535","HR 4534","57632","β Leo","Denebola","Leo","Applied with various spellings since medieval times, from its name for the Arabic Almagest period dhanab al-asad, ""the Lion's Tail.""","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
"Dubhe","4,301","HR 4301","54061","α UMa","Dubhe","UMa","Applied in medieval times from the Arabic constellation name al-dubb, ""the Bear,"" for Ursa Major. The spelling in the oldest sources was edubh (corresponding to the Arabic noun with the article al prefixed as e).  Afterwards, by corruption, the initial e was transferred to the end of the word: dubhe.","Arabic","Kunitzsch, Paul; Smart, Tim (2006). A Dictionary of Modern star Names: A Short Guide to 254 Star Names and Their Derivations (2nd rev. ed.). Cambridge, Massachusetts: Sky Pub.","2016/06/30"
